,full_name,resale_price,registered_year,engine_capacity,insurance,kms_driven,owner_type,fuel_type,seats,mileage,body_type,city,transmission_type_Automatic,transmission_type_Manual
0,2017 Maruti Baleno 1.2 Alpha,6540,2017,1197,Third Party,40000,First Owner,Petrol,5,214,Hatchback,Agra,0,1
1,2018 Tata Hexa XTA,12000,2018,2179,Third Party,70000,First Owner,Diesel,7,176,MUV,Agra,1,0
2,2015 Maruti Swift Dzire VXI,5400,2015,1197,Third Party,70000,Second Owner,Petrol,5,2085,Sedan,Agra,0,1
3,2015 Maruti Swift Dzire VXI,5400,2015,1197,Third Party,70000,Second Owner,Petrol,5,2085,Sedan,Agra,0,1
4,2009 Hyundai i10 Magna 1.1,1920,2009,1086,Third Party,80000,First Owner,Petrol,5,1981,Hatchback,Agra,0,1
5,2015 Hyundai i20 Active 1.2,5640,2015,1197,Third Party,70000,First Owner,Petrol,5,1719,Hatchback,Agra,0,1
6,2017 Tata Tiago 1.05 Revotorq XZ,4320,2017,1047,Third Party,120000,First Owner,Diesel,5,2728,Hatchback,Agra,0,1
7,2010 Hyundai i10 Magna 1.1,2400,2010,1086,Third Party,60000,Second Owner,Petrol,5,1981,Hatchback,Agra,0,1
10,2014 Honda Amaze E i-Vtech,3959,2014,1198,Third Party,70000,First Owner,Petrol,5,18,Sedan,Agra,0,1
11,2018 Hyundai Xcent 1.2 VTVT SX,5700,2018,1197,Third Party,60000,Second Owner,Petrol,5,2014,Sedan,Agra,0,1
12,2020 Maruti Ciaz Sigma BSIV,8232,2020,1462,Third Party,50000,Third Owner,Petrol,5,2156,Sedan,Agra,0,1
13,2021 Hyundai Venue SX Opt Executive Diesel,15000,2021,1493,Third Party,60000,First Owner,Diesel,5,237,SUV,Agra,0,1
14,2021 Hyundai Venue SX Dual Tone Diesel BSIV,13200,2021,1396,Third Party,60000,First Owner,Diesel,5,237,SUV,Agra,0,1
15,2019 Maruti Alto K10 VXI AGS Optional,4740,2019,998,Third Party,20000,First Owner,Petrol,5,2395,Hatchback,Agra,1,0
16,2016 Maruti Wagon R LXI CNG,4200,2016,998,Third Party,40000,First Owner,CNG,5,266,Hatchback,Agra,0,1
17,2011 Toyota Etios VX,3468,2011,1496,Third Party,50000,Second Owner,Petrol,5,176,Sedan,Agra,0,1
18,2011 Toyota Corolla Altis Diesel D4DGL,3384,2011,1364,Third Party,150000,First Owner,Diesel,5,2143,Sedan,Agra,0,1
19,2021 Kia Sonet HTX Plus Turbo iMT BSVI,12000,2021,998,Third Party,10000,First Owner,Petrol,5,182,SUV,Agra,0,1
20,2020 Maruti Ciaz Alpha BSVI,9420,2020,1462,Third Party,30000,Second Owner,Petrol,5,2065,Sedan,Agra,0,1
21,2014 Ford Ecosport 1.5 DV5 MT Ambiente,3600,2014,1498,Third Party,150000,Third Owner,Diesel,5,227,SUV,Agra,0,1
22,2011 Mitsubishi Outlander 2.4,4764,2011,2360,Third Party,80000,Second Owner,Petrol,5,113,SUV,Agra,1,0
23,2015 Maruti Swift Dzire VDI,4500,2015,1248,Third Party,20000,First Owner,Diesel,5,2659,Sedan,Agra,0,1
24,2011 Maruti Alto K10 LXI,1200,2011,998,Third Party,120000,Third Owner,Petrol,5,2092,Hatchback,Agra,0,1
25,2011 Mitsubishi Outlander 2.4,4764,2011,2360,Third Party,80000,Second Owner,Petrol,5,113,SUV,Agra,1,0
26,2021 Maruti Baleno Zeta,8100,2021,1197,Third Party,40000,First Owner,Petrol,5,2101,Hatchback,Agra,0,1
27,2018 Hyundai Xcent 1.2 VTVT SX,5580,2018,1197,Third Party,60000,Second Owner,Petrol,5,2014,Sedan,Agra,0,1
28,2015 Maruti Swift Dzire VXI,5760,2015,1197,Third Party,80000,Second Owner,Petrol,5,2085,Sedan,Agra,0,1
29,2014 Maruti Alto 800 LXI,2700,2014,796,Third Party,100000,First Owner,Petrol,5,2274,Hatchback,Agra,0,1
30,2016 Maruti Wagon R VXI Optional,3840,2016,998,Third Party,70000,Second Owner,Petrol,5,2051,Hatchback,Agra,0,1
31,2015 Hyundai Grand i10 Sportz,4980,2015,1197,Third Party,30000,First Owner,Petrol,5,189,Hatchback,Agra,0,1
32,2012 Maruti Swift VDI,2880,2012,1248,Third Party,120000,Third Owner,Diesel,5,229,Hatchback,Agra,0,1
33,2013 Mahindra XUV500 W6 2WD,4200,2013,2179,Third Party,100000,Third Owner,Diesel,7,151,SUV,Agra,0,1
34,2013 Mahindra XUV500 W6 2WD,4200,2013,2179,Third Party,100000,Third Owner,Diesel,7,151,SUV,Agra,0,1
